Time hh:mm:ss tt,Game Time ss.,Event
Time: 09:34:44 AM,Game Time: 29.51402,Dirt Available Value Changed: 79%
Time: 09:34:44 AM,Game Time: 29.58069,Dirt Available Value Changed: 78%
Time: 09:34:45 AM,Game Time: 29.61402,Dirt Available Value Changed: 77%
Time: 09:34:45 AM,Game Time: 29.68069,Dirt Available Value Changed: 76%
Time: 09:34:45 AM,Game Time: 29.71402,Dirt Available Value Changed: 75%
Time: 09:34:45 AM,Game Time: 29.78069,Dirt Available Value Changed: 74%
Time: 09:34:45 AM,Game Time: 29.84735,Dirt Available Value Changed: 73%
Time: 09:34:45 AM,Game Time: 29.88069,Dirt Available Value Changed: 72%
Time: 09:34:45 AM,Game Time: 29.94735,Data Card Added: Terrain Fill Data Card
Time: 09:34:45 AM,Game Time: 29.94735,Dirt Available Value Changed: 71%
Time: 09:34:49 AM,Game Time: 33.72207,Dirt Available Value Changed: 70%
Time: 09:34:51 AM,Game Time: 35.48478,Dirt Available Value Changed: 69%
Time: 09:34:51 AM,Game Time: 35.55144,Dirt Available Value Changed: 68%
Time: 09:34:52 AM,Game Time: 36.906,Dirt Available Value Changed: 67%
Time: 09:34:52 AM,Game Time: 36.98011,Notebook text has been saved:
Time: 09:34:53 AM,Game Time: 38.26963,Dirt Available Value Changed: 66%
Time: 09:34:57 AM,Game Time: 40.31588,Conversation Start.
Time: 09:34:58 AM,Game Time: 40.32,Entered Corridor
Time: 09:34:58 AM,Game Time: 40.42772,Objective Change. To: Go see the Colonel.
Time: 09:35:09 AM,Game Time: 51.78,Entered Bridge Area
Time: 09:35:12 AM,Game Time: 55.08,Entered DrSMLCoversationTrigger
Time: 09:35:15 AM,Game Time: 57.4,Entered CommanderConversationTrigger
Time: 09:35:15 AM,Game Time: 57.4,Conversation Panel Changed (Button Click)
Time: 09:35:15 AM,Game Time: 57.4,Conversation Panel Changed (Button Click)
Time: 09:35:16 AM,Game Time: 58.83602,Conversation Panel Changed (Button Click)
Time: 09:35:17 AM,Game Time: 59.46832,Conversation Panel Changed (Button Click)
Time: 09:35:21 AM,Game Time: 63.70791,Conversation Panel Changed (Button Click)
Time: 09:35:22 AM,Game Time: 64.53276,Conversation Panel Changed (Button Click)
Time: 09:35:23 AM,Game Time: 65.832,Conversation Panel Changed (Button Click)
Time: 09:35:24 AM,Game Time: 66.56824,Conversation Panel Changed (Button Click)
Time: 09:35:24 AM,Game Time: 67.22039,Conversation Panel Changed (Button Click)
Time: 09:35:26 AM,Game Time: 68.83613,Conversation Panel Changed (Button Click)
Time: 09:35:27 AM,Game Time: 69.504,Objective Change. To: Go to the terrain simulator.
Time: 09:35:27 AM,Game Time: 69.504,Conversation End.
Time: 09:35:27 AM,Game Time: 69.504,Conversation End.
Time: 09:35:27 AM,Game Time: 69.504,Conversation Panel Changed (Button Click)
Time: 09:35:31 AM,Game Time: 72.80399,Dirt Available Value Changed: 66%
Time: 09:35:33 AM,Game Time: 75.10401,Terrain Tool Orientation Changed: To 2
Time: 09:35:35 AM,Game Time: 77.74961,Salinity Sensor Placed
Time: 09:35:36 AM,Game Time: 77.78294,Salinity Sensor has changed from: 0ppt To: 35ppt
Time: 09:35:36 AM,Game Time: 77.87386,Salinity Sensor has changed from: 35ppt To: 0ppt
Time: 09:35:36 AM,Game Time: 78.27827,Salinity Sensor has changed from: 0ppt To: 35ppt
Time: 09:35:38 AM,Game Time: 79.76248,Salinity Sensor Placed
Time: 09:35:38 AM,Game Time: 79.76978,Salinity Sensor has changed from: 0ppt To: 35ppt
Time: 09:35:38 AM,Game Time: 79.93016,Salinity Sensor has changed from: 35ppt To: 0ppt
Time: 09:35:38 AM,Game Time: 80.29805,Data Card Added: High Salinity Data Card
Time: 09:35:38 AM,Game Time: 80.29805,Data Card Added: Low Salinity Data Card
Time: 09:35:43 AM,Game Time: 83.34982,Conversation Start.
Time: 09:35:43 AM,Game Time: 83.34982,Conversation Start.
Time: 09:35:43 AM,Game Time: 83.36,Entered Corridor
Time: 09:35:43 AM,Game Time: 83.48145,Objective Change. To: Go see the Professor
Time: 09:35:55 AM,Game Time: 95.64,Entered Bridge Area
Time: 09:35:59 AM,Game Time: 98.93999,Entered DrSMLCoversationTrigger
Time: 09:35:59 AM,Game Time: 98.93999,Conversation Panel Changed (Button Click)
Time: 09:35:59 AM,Game Time: 98.93999,Conversation Panel Changed (Button Click)
Time: 09:36:00 AM,Game Time: 100.2217,Objective Change. To: Go see the Colonel.
Time: 09:36:00 AM,Game Time: 100.2217,Conversation End.
Time: 09:36:00 AM,Game Time: 100.2217,Conversation Start.
Time: 09:36:00 AM,Game Time: 100.2217,Conversation Panel Changed (Button Click)
Time: 09:36:01 AM,Game Time: 101.62,Entered CommanderConversationTrigger
Time: 09:36:01 AM,Game Time: 101.62,Conversation Panel Changed (Button Click)
Time: 09:36:01 AM,Game Time: 101.62,Conversation Panel Changed (Button Click)
Time: 09:36:02 AM,Game Time: 102.2656,Conversation Panel Changed (Button Click)
Time: 09:36:03 AM,Game Time: 103.0058,Conversation Panel Changed (Button Click)
Time: 09:36:04 AM,Game Time: 104.602,Conversation Panel Changed (Button Click)
Time: 09:36:05 AM,Game Time: 105.3418,Conversation Panel Changed (Button Click)
Time: 09:36:06 AM,Game Time: 106.0257,Conversation Panel Changed (Button Click)
Time: 09:36:07 AM,Game Time: 107.254,Objective Change. To: Go see the Professor.
Time: 09:36:07 AM,Game Time: 107.254,Conversation End.
Time: 09:36:07 AM,Game Time: 107.254,Conversation Start.
Time: 09:36:07 AM,Game Time: 107.254,Conversation Panel Changed (Button Click)
Time: 09:36:08 AM,Game Time: 108.26,Entered DrSMLCoversationTrigger
Time: 09:36:08 AM,Game Time: 108.26,Conversation Panel Changed (Button Click)
Time: 09:36:08 AM,Game Time: 108.26,Conversation Panel Changed (Button Click)
Time: 09:36:09 AM,Game Time: 108.9704,Conversation Panel Changed (Button Click)
Time: 09:36:10 AM,Game Time: 110.0619,Objective Change. To: Go see the Colonel.
Time: 09:36:10 AM,Game Time: 110.0619,Conversation End.
Time: 09:36:10 AM,Game Time: 110.0619,Conversation Start.
Time: 09:36:10 AM,Game Time: 110.0619,Conversation Panel Changed (Button Click)
Time: 09:36:11 AM,Game Time: 111.08,Entered CommanderConversationTrigger
Time: 09:36:11 AM,Game Time: 111.08,Conversation Panel Changed (Button Click)
Time: 09:36:11 AM,Game Time: 111.08,Conversation Panel Changed (Button Click)
Time: 09:36:12 AM,Game Time: 112.2269,Objective Change. To: Go see Dr. Topo-Land.
Time: 09:36:12 AM,Game Time: 112.2269,Conversation End.
Time: 09:36:12 AM,Game Time: 112.2269,Conversation Start.
Time: 09:36:12 AM,Game Time: 112.2269,Conversation Panel Changed (Button Click)
Time: 09:36:18 AM,Game Time: 118.12,Entered Corridor
Time: 09:36:25 AM,Game Time: 124.76,Entered Lab Area
Time: 09:36:30 AM,Game Time: 130.34,Entered DrTopoLandCoversationTrigger
Time: 09:36:30 AM,Game Time: 130.34,Conversation Panel Changed (Button Click)
Time: 09:36:30 AM,Game Time: 130.34,Conversation Panel Changed (Button Click)
Time: 09:36:31 AM,Game Time: 131.2832,Conversation Panel Changed (Button Click)
Time: 09:36:32 AM,Game Time: 131.8952,Conversation Panel Changed (Button Click)
Time: 09:36:33 AM,Game Time: 133.2511,Conversation Panel Changed (Button Click)
Time: 09:36:35 AM,Game Time: 135.2308,Data Card Added: Water Shed Definition Data Card
Time: 09:36:35 AM,Game Time: 135.2308,Objective Change. To: Go to the terrain simulator.
Time: 09:36:35 AM,Game Time: 135.2308,Conversation End.
Time: 09:36:35 AM,Game Time: 135.2308,Conversation Panel Changed (Button Click)
Time: 09:36:39 AM,Game Time: 138.5187,Dirt Available Value Changed: 66%
Time: 09:36:45 AM,Game Time: 144.4146,Water Sensor Placed
Time: 09:36:46 AM,Game Time: 146.0673,Water Sensor Placed
Time: 09:36:49 AM,Game Time: 148.3271,Water Sensor Placed
Time: 09:36:50 AM,Game Time: 149.6631,Water Sensor Placed
Time: 09:36:52 AM,Game Time: 151.2197,Water Sensor Placed
Time: 09:36:53 AM,Game Time: 152.8391,Rainfall Initiated. Button Pressed
Time: 09:36:56 AM,Game Time: 155.7433,Rainfall Initiated. Button Pressed
Time: 09:37:03 AM,Game Time: 162.6253,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:03 AM,Game Time: 162.7135,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:03 AM,Game Time: 162.9534,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:04 AM,Game Time: 163.3442,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:04 AM,Game Time: 163.388,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:04 AM,Game Time: 163.6207,Water Flow Sensor percentage changed From:0% To: 0.1%
Time: 09:37:04 AM,Game Time: 163.7207,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:04 AM,Game Time: 163.8618,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:04 AM,Game Time: 163.8618,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:04 AM,Game Time: 163.8618,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:04 AM,Game Time: 163.9805,Water Flow Sensor percentage changed From:0.1% To: 0.2%
Time: 09:37:05 AM,Game Time: 164.1744,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:05 AM,Game Time: 164.1744,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:05 AM,Game Time: 164.202,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:05 AM,Game Time: 164.2924,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:05 AM,Game Time: 164.2924,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:05 AM,Game Time: 164.4915,Water Flow Sensor percentage changed From:0.2% To: 0.3%
Time: 09:37:05 AM,Game Time: 164.6688,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:06 AM,Game Time: 165.1432,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:06 AM,Game Time: 165.2369,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:06 AM,Game Time: 165.2369,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:06 AM,Game Time: 165.4269,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:06 AM,Game Time: 165.7675,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:06 AM,Game Time: 165.7675,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:07 AM,Game Time: 165.8646,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:07 AM,Game Time: 165.9261,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:07 AM,Game Time: 165.9928,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:07 AM,Game Time: 166.0919,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:07 AM,Game Time: 166.1585,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:07 AM,Game Time: 166.1919,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:07 AM,Game Time: 166.2252,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:07 AM,Game Time: 166.5452,Water Flow Sensor percentage changed From:0.3% To: 0.4%
Time: 09:37:07 AM,Game Time: 166.6111,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:08 AM,Game Time: 166.7111,Water Flow Sensor percentage changed From:0.4% To: 0.5%
Time: 09:37:08 AM,Game Time: 167.0024,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:08 AM,Game Time: 167.0357,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:08 AM,Game Time: 167.1676,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:09 AM,Game Time: 167.4662,Water Flow Sensor percentage changed From:1.3% To: 1.4%
Time: 09:37:09 AM,Game Time: 167.5329,Water Flow Sensor percentage changed From:1.4% To: 1.5%
Time: 09:37:09 AM,Game Time: 167.6983,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:09 AM,Game Time: 167.7306,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:09 AM,Game Time: 167.7639,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:09 AM,Game Time: 167.7973,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:09 AM,Game Time: 167.8306,Water Flow Sensor percentage changed From:1.5% To: 1.6%
Time: 09:37:09 AM,Game Time: 167.8639,Water Flow Sensor percentage changed From:0.5% To: 0.6%
Time: 09:37:09 AM,Game Time: 167.8972,Water Flow Sensor percentage changed From:1.6% To: 1.7%
Time: 09:37:09 AM,Game Time: 167.9639,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:09 AM,Game Time: 167.9639,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:10 AM,Game Time: 168.2289,Water Flow Sensor percentage changed From:0.6% To: 0.7%
Time: 09:37:10 AM,Game Time: 168.2622,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:10 AM,Game Time: 168.3289,Water Flow Sensor percentage changed From:1.1% To: 1.3%
Time: 09:37:10 AM,Game Time: 168.3622,Water Flow Sensor percentage changed From:1.7% To: 1.8%
Time: 09:37:10 AM,Game Time: 168.4955,Water Flow Sensor percentage changed From:1.8% To: 1.9%
Time: 09:37:10 AM,Game Time: 168.6288,Water Flow Sensor percentage changed From:1.9% To: 2.1%
Time: 09:37:10 AM,Game Time: 168.8288,Water Flow Sensor percentage changed From:2.1% To: 2.2%
Time: 09:37:10 AM,Game Time: 168.8622,Water Flow Sensor percentage changed From:2.2% To: 2.3%
Time: 09:37:11 AM,Game Time: 168.9955,Water Flow Sensor percentage changed From:2.3% To: 2.4%
Time: 09:37:11 AM,Game Time: 169.1288,Water Flow Sensor percentage changed From:1.3% To: 1.4%
Time: 09:37:11 AM,Game Time: 169.1622,Water Flow Sensor percentage changed From:2.4% To: 2.5%
Time: 09:37:11 AM,Game Time: 169.1955,Water Flow Sensor percentage changed From:1.4% To: 1.5%
Time: 09:37:11 AM,Game Time: 169.2955,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:11 AM,Game Time: 169.4288,Water Flow Sensor percentage changed From:2.5% To: 2.7%
Time: 09:37:11 AM,Game Time: 169.5622,Water Flow Sensor percentage changed From:2.7% To: 2.8%
Time: 09:37:12 AM,Game Time: 169.6288,Water Flow Sensor percentage changed From:0.7% To: 0.8%
Time: 09:37:12 AM,Game Time: 169.6955,Water Flow Sensor percentage changed From:2.8% To: 2.9%
Time: 09:37:12 AM,Game Time: 169.7622,Water Flow Sensor percentage changed From:1.5% To: 1.6%
Time: 09:37:12 AM,Game Time: 169.7622,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:12 AM,Game Time: 169.9955,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:12 AM,Game Time: 170.1288,Water Flow Sensor percentage changed From:2.9% To: 3%
Time: 09:37:13 AM,Game Time: 170.3622,Water Flow Sensor percentage changed From:1.6% To: 1.7%
Time: 09:37:13 AM,Game Time: 170.5622,Water Flow Sensor percentage changed From:1.7% To: 1.8%
Time: 09:37:13 AM,Game Time: 170.6288,Water Flow Sensor percentage changed From:3% To: 3.1%
Time: 09:37:13 AM,Game Time: 170.6288,Water Flow Sensor percentage changed From:0.8% To: 0.9%
Time: 09:37:13 AM,Game Time: 170.6622,Water Flow Sensor percentage changed From:1.8% To: 1.9%
Time: 09:37:13 AM,Game Time: 170.7622,Water Flow Sensor percentage changed From:3.1% To: 3.2%
Time: 09:37:13 AM,Game Time: 170.9288,Water Flow Sensor percentage changed From:3.2% To: 3.3%
Time: 09:37:14 AM,Game Time: 171.0289,Water Flow Sensor percentage changed From:1.9% To: 2%
Time: 09:37:14 AM,Game Time: 171.0622,Water Flow Sensor percentage changed From:3.3% To: 3.4%
Time: 09:37:14 AM,Game Time: 171.1622,Water Flow Sensor percentage changed From:3.4% To: 3.5%
Time: 09:37:14 AM,Game Time: 171.2289,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:14 AM,Game Time: 171.3288,Water Flow Sensor percentage changed From:3.5% To: 3.6%
Time: 09:37:14 AM,Game Time: 171.4288,Water Flow Sensor percentage changed From:2% To: 2.1%
Time: 09:37:14 AM,Game Time: 171.4622,Water Flow Sensor percentage changed From:2.1% To: 2.2%
Time: 09:37:14 AM,Game Time: 171.4955,Water Flow Sensor percentage changed From:3.6% To: 3.7%
Time: 09:37:14 AM,Game Time: 171.5289,Water Flow Sensor percentage changed From:2.2% To: 2.3%
Time: 09:37:15 AM,Game Time: 171.8288,Water Flow Sensor percentage changed From:3.7% To: 3.9%
Time: 09:37:15 AM,Game Time: 171.8622,Water Flow Sensor percentage changed From:2.3% To: 2.4%
Time: 09:37:15 AM,Game Time: 171.9288,Water Flow Sensor percentage changed From:3.9% To: 4%
Time: 09:37:15 AM,Game Time: 171.9288,Water Flow Sensor percentage changed From:2.4% To: 2.5%
Time: 09:37:15 AM,Game Time: 171.9288,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:15 AM,Game Time: 171.9622,Water Flow Sensor percentage changed From:4% To: 4.1%
Time: 09:37:15 AM,Game Time: 172.0622,Water Flow Sensor percentage changed From:2.5% To: 2.6%
Time: 09:37:15 AM,Game Time: 172.1288,Water Flow Sensor percentage changed From:4.1% To: 4.2%
Time: 09:37:16 AM,Game Time: 172.2289,Water Flow Sensor percentage changed From:4.2% To: 4.3%
Time: 09:37:16 AM,Game Time: 172.4288,Water Flow Sensor percentage changed From:2.6% To: 2.7%
Time: 09:37:16 AM,Game Time: 172.4622,Water Flow Sensor percentage changed From:4.3% To: 4.4%
Time: 09:37:16 AM,Game Time: 172.5622,Water Flow Sensor percentage changed From:4.4% To: 4.5%
Time: 09:37:17 AM,Game Time: 172.8288,Water Flow Sensor percentage changed From:2.7% To: 2.8%
Time: 09:37:17 AM,Game Time: 172.8622,Water Flow Sensor percentage changed From:4.5% To: 4.6%
Time: 09:37:17 AM,Game Time: 172.9622,Water Flow Sensor percentage changed From:4.6% To: 4.7%
Time: 09:37:17 AM,Game Time: 172.9955,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:17 AM,Game Time: 173.0622,Water Flow Sensor percentage changed From:2.8% To: 2.9%
Time: 09:37:17 AM,Game Time: 173.0955,Water Flow Sensor percentage changed From:4.7% To: 4.8%
Time: 09:37:17 AM,Game Time: 173.1622,Water Flow Sensor percentage changed From:2.9% To: 3%
Time: 09:37:17 AM,Game Time: 173.1955,Water Flow Sensor percentage changed From:4.8% To: 4.9%
Time: 09:37:17 AM,Game Time: 173.3288,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:18 AM,Game Time: 173.4622,Water Flow Sensor percentage changed From:3% To: 3.1%
Time: 09:37:18 AM,Game Time: 173.4955,Water Flow Sensor percentage changed From:4.9% To: 5%
Time: 09:37:18 AM,Game Time: 173.6288,Water Flow Sensor percentage changed From:5% To: 5.1%
Time: 09:37:18 AM,Game Time: 173.6622,Water Flow Sensor percentage changed From:5.1% To: 5.3%
Time: 09:37:18 AM,Game Time: 173.7289,Water Flow Sensor percentage changed From:3.1% To: 3.2%
Time: 09:37:18 AM,Game Time: 173.8288,Water Flow Sensor percentage changed From:5.3% To: 5.5%
Time: 09:37:18 AM,Game Time: 173.8288,Water Flow Sensor percentage changed From:3.2% To: 3.3%
Time: 09:37:18 AM,Game Time: 173.9288,Water Flow Sensor percentage changed From:3.3% To: 3.4%
Time: 09:37:19 AM,Game Time: 174.1955,Water Flow Sensor percentage changed From:5.5% To: 5.6%
Time: 09:37:19 AM,Game Time: 174.3288,Water Flow Sensor percentage changed From:3.4% To: 3.5%
Time: 09:37:19 AM,Game Time: 174.3955,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:19 AM,Game Time: 174.5288,Water Flow Sensor percentage changed From:0.9% To: 1%
Time: 09:37:20 AM,Game Time: 174.7289,Water Flow Sensor percentage changed From:5.6% To: 5.7%
Time: 09:37:20 AM,Game Time: 174.7289,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:20 AM,Game Time: 174.7622,Water Flow Sensor percentage changed From:5.7% To: 5.8%
Time: 09:37:20 AM,Game Time: 174.8288,Water Flow Sensor percentage changed From:5.8% To: 5.9%
Time: 09:37:20 AM,Game Time: 174.8288,Water Flow Sensor percentage changed From:1.3% To: 1.4%
Time: 09:37:20 AM,Game Time: 174.9288,Water Flow Sensor percentage changed From:3.5% To: 3.6%
Time: 09:37:20 AM,Game Time: 175.0955,Water Flow Sensor percentage changed From:3.6% To: 3.7%
Time: 09:37:20 AM,Game Time: 175.1288,Water Flow Sensor percentage changed From:5.9% To: 6%
Time: 09:37:20 AM,Game Time: 175.1622,Water Flow Sensor percentage changed From:1% To: 1.1%
Time: 09:37:21 AM,Game Time: 175.2288,Water Flow Sensor percentage changed From:6% To: 6.1%
Time: 09:37:21 AM,Game Time: 175.2288,Water Flow Sensor percentage changed From:3.7% To: 3.8%
Time: 09:37:21 AM,Game Time: 175.3288,Water Flow Sensor percentage changed From:3.8% To: 3.9%
Time: 09:37:21 AM,Game Time: 175.3622,Water Flow Sensor percentage changed From:6.1% To: 6.2%
Time: 09:37:21 AM,Game Time: 175.4288,Water Flow Sensor percentage changed From:6.2% To: 6.3%
Time: 09:37:21 AM,Game Time: 175.5955,Water Flow Sensor percentage changed From:6.3% To: 6.4%
Time: 09:37:21 AM,Game Time: 175.7288,Water Flow Sensor percentage changed From:6.4% To: 6.5%
Time: 09:37:22 AM,Game Time: 175.7955,Water Flow Sensor percentage changed From:3.9% To: 4%
Time: 09:37:22 AM,Game Time: 175.8288,Water Flow Sensor percentage changed From:6.5% To: 6.6%
Time: 09:37:22 AM,Game Time: 175.8622,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:22 AM,Game Time: 175.9955,Water Flow Sensor percentage changed From:6.6% To: 6.7%
Time: 09:37:22 AM,Game Time: 175.9955,Water Flow Sensor percentage changed From:4% To: 4.1%
Time: 09:37:22 AM,Game Time: 176.1288,Water Flow Sensor percentage changed From:6.7% To: 6.8%
Time: 09:37:22 AM,Game Time: 176.1622,Water Flow Sensor percentage changed From:6.8% To: 6.9%
Time: 09:37:22 AM,Game Time: 176.2622,Water Flow Sensor percentage changed From:6.9% To: 7%
Time: 09:37:23 AM,Game Time: 176.3622,Water Flow Sensor percentage changed From:7% To: 7.1%
Time: 09:37:23 AM,Game Time: 176.3622,Water Flow Sensor percentage changed From:1.4% To: 1.5%
Time: 09:37:23 AM,Game Time: 176.4288,Water Flow Sensor percentage changed From:4.1% To: 4.2%
Time: 09:37:23 AM,Game Time: 176.5955,Water Flow Sensor percentage changed From:7.1% To: 7.2%
Time: 09:37:23 AM,Game Time: 176.6288,Water Flow Sensor percentage changed From:7.2% To: 7.4%
Time: 09:37:23 AM,Game Time: 176.6288,Water Flow Sensor percentage changed From:4.2% To: 4.3%
Time: 09:37:23 AM,Game Time: 176.6622,Water Flow Sensor percentage changed From:7.4% To: 7.5%
Time: 09:37:23 AM,Game Time: 176.7288,Water Flow Sensor percentage changed From:7.5% To: 7.7%
Time: 09:37:23 AM,Game Time: 176.7622,Water Flow Sensor percentage changed From:7.7% To: 7.8%
Time: 09:37:24 AM,Game Time: 176.8288,Water Flow Sensor percentage changed From:7.8% To: 7.9%
Time: 09:37:24 AM,Game Time: 176.8955,Water Flow Sensor percentage changed From:7.9% To: 8%
Time: 09:37:24 AM,Game Time: 176.9622,Water Flow Sensor percentage changed From:8% To: 8.1%
Time: 09:37:24 AM,Game Time: 177.0288,Water Flow Sensor percentage changed From:8.1% To: 8.2%
Time: 09:37:24 AM,Game Time: 177.1288,Water Flow Sensor percentage changed From:1.2% To: 1.3%
Time: 09:37:24 AM,Game Time: 177.1622,Water Flow Sensor percentage changed From:8.2% To: 8.3%
Time: 09:37:24 AM,Game Time: 177.2288,Water Flow Sensor percentage changed From:8.3% To: 8.4%
Time: 09:37:24 AM,Game Time: 177.2622,Water Flow Sensor percentage changed From:8.4% To: 8.5%
Time: 09:37:25 AM,Game Time: 177.3622,Water Flow Sensor percentage changed From:8.5% To: 8.7%
Time: 09:37:25 AM,Game Time: 177.3955,Water Flow Sensor percentage changed From:1.1% To: 1.2%
Time: 09:37:25 AM,Game Time: 177.7955,Water Flow Sensor percentage changed From:8.7% To: 8.8%
